Member,Group A,Group B,Group C,Group D
Alex,Tommy Fleetwood,Erik van Rooyen,Graeme McDowell,Viktor Hovland
Andy,Brooks Koepka,Paul Casey,Henrik Stenson,Viktor Hovland
Brad,Patrick Reed,Jason Day,Bubba Watson,Emiliano Grillo
Brandon,Rory McIlroy,Sungjae Im,Tyrrell Hatton,Scottie Scheffler
David,Rory McIlroy,Rickie Fowler,Tyrrell Hatton,Harris English
Joel,Brooks Koepka,Jason Day,Jason Dufner,J.B. Holmes
John,Rory McIlroy,Francesco Molinari,Brandt Snedeker,Jhonattan Vegas
Kevin,Rory McIlroy,Rickie Fowler,Billy Horschel,J.B. Holmes
Rey,Justin Thomas,Sungjae Im,Tyrrell Hatton,Scottie Scheffler
Rick,Brooks Koepka,Erik van Rooyen,Graeme McDowell,Rory Sabbatini
Ryan,Rory McIlroy,Sungjae Im,Jim Furyk,Collin Morikawa